login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
orta,tsplay.dev,2020-04-17T12:11:19Z,0,2,TypeScript,True,True,mit
orta,ts-playground-plugin-vim,2020-04-17T12:10:23Z,0,2,TypeScript,True,True,
orta,playground-plugin-challenges,2020-03-02T15:40:23Z,0,2,TypeScript,True,True,mit
orta,typescript-playground-plugin-svelte,2020-04-17T12:08:58Z,0,2,HTML,True,True,
orta,typescript-playground-plugin-react,2020-04-16T17:02:35Z,1,2,TypeScript,True,True,mit
orta,electron-global,2020-04-10T11:53:06Z,0,2,C++,True,True,mit
orta,danger,2016-07-31T17:54:37Z,0,3,Ruby,True,False,mit
orta,31465,2020-03-24T21:00:15Z,2,3,TypeScript,True,True,
orta,gatsby-plugin-client-side-redirect,2020-03-18T14:35:22Z,0,2,JavaScript,True,True,mit
orta,dt-mergebot,2019-12-10T15:45:17Z,0,2,TypeScript,True,False,mit
orta,vetur,2020-03-15T21:10:37Z,0,2,TypeScript,True,False,mit
orta,pxt-arcade,2020-03-10T15:41:54Z,0,2,TypeScript,True,False,mit
orta,vscode-debug-visualizer,2020-02-28T21:54:47Z,0,2,TypeScript,True,True,mit
